,#1 String,#2 String
3388,"Despite being generally known as the Salem witch trials , the preliminary hearings in 1692 were conducted in several towns in the Province of Massachusetts Bay : Salem Village ( now Danvers ) , Ipswich , Andover , and Salem Town .","Despite being generally known as the `` Salem '' witch trials , the preliminary ( or first ) hearings in 1692 were held in different towns across the province : Salem Village , Ipswich , Andover , and Salem Town , Massachusetts ."
3389,Ingvar Feodor Kamprad ( ; born 30 March 1926 ) is a Swedish .,Ingvar Feodor Kamprad ( ; born 30 March 1926 ) is a Swedish business magnate .
3390,"It was known that the toad could poison people and , as the witch 's familiar , it was thought to possess magical powers .",It was thought that the toad could poison people . It was also thought that it was the witch 's familiar and thus had magical powers .
3391,"Many episodes also featured new adaptations of classic stories by such writers as Ambrose Bierce , Jerome Bixby , Damon Knight , John Collier , and Lewis Padgett .","Many episodes also featured adaptations of classic stories by such writers as Ambrose Bierce , Lewis Padgett , Jerome Bixby and Damon Knight ."
3392,In 1861 the southeastern part of Cherokee County became Clay County ; in 1872 its northeastern part became Graham County .,In 1861 the southeastern part of Cherokee County became Clay County and in 1872 its northeastern part became Graham County .
3393,"The university has 23,473 undergraduate students , 17,398 postgraduate students , 2,968 doctoral students and over 9,000 employees .","The university has 23,473 undergraduate students , 17,398 postgraduate students , 2,968 doctoral students and more than 9,000 employees ."
3394,The Trolleybus Museum at Sandtoft is a transport museum which specialises in the preservation of trolleybuses .,The Trolleybus Museum at Sandtoft is a transport museum that has old trolleybuses .
3395,Morgan 's process of taking over troubled businesses to reorganize them was known as `` Morganization '' .,He followed the process of reorganizing them known then as `` Morganization '' .
3396,"He constantly stressed the need for a revolution in the psyche of every human being and emphasised that such revolution can not be brought about by any external entity , be it religious , political , or social .","He stressed the need for a revolution in the psyche of every human being and emphasized that such revolution can not be brought about by any external entity , be it religious , political , or social ."
3397,The Corporation of Coimbatore has drafted a Master Plan that aims to develop Avinashi as the satellite town around the Coimbatore city .,The Corporation of Coimbatore has drafted a Master Plan that aims to develop Avinashi as a satellite town around the Coimbatore city .
3398,"Sir Kingsley William Amis , CBE ( 16 April 1922 - 22 October 1995 ) was an English novelist , poet , critic , and teacher .","Sir Kingsley William Amis ( 16 April 1922 - 22 October 1995 ) was an English novelist , poet , critic , and teacher ."
3399,"The `` box '' was actually a large jar ( πίθος pithos ) given to Pandora ( Πανδώρα , `` all-gifted '' , `` all-giving '' ) , which contained all the evils of the world .","In Greek mythology , Pandora 's box was a large jar ( πιθος pithos ) carried by Pandora ."
3400,"The book features the Abbeydwellers bustling in Redwall , cooking , gathering flowers , and doing other chores for their beloved Abbot ( presumably Abbot Mordalfus ) .","The book shows the Abbeydwellers bustling in Redwall , cooking , gathering flowers , and doing other things for the feast for their beloved Abbot ( probably Abbot Mordalfus ) ."
3401,"Bond was born in 1773 in Frederick , Maryland .","Bond was born on November 24 , 1773 in Frederick , Maryland ."
3402,"For instance , in times of hardship for a population , such as a lack of food , juvenile and eventually adult fecundity has been shown to decrease ( i.e. due to a lack of resources the juvenile individuals are unable to reproduce , eventually the adults will run out of resources and reproduction will cease ) .","For instance , in times of hardship for a population such as a lack of food , juvenile and eventually adult fecundity may decrease ."
3403,"Alvin Nathaniel Joiner ( born September 18 , 1974 ) , better known by his stage name Xzibit ( pronounced `` exhibit '' ) , is an American rapper , actor , television host and record producer .","Alvin Nathaniel Joiner ( born September 18 , 1974 in Detroit , Michigan ) , known by his stage name , Xzibit , is an American rapper , actor and television host ."
3404,"Bernard Morton `` Bernie '' Kopell ( born June 21 , 1933 ) is an American character actor known for his roles as Siegfried in `` Get Smart '' from 1966 to 1969 and as Dr. Adam Bricker ( `` Doc '' ) in ABC 's `` The Love Boat '' from 1977 to 1986 .","Bernard Morton `` Bernie '' Kopell ( born June 21 , 1933 in Brooklyn , New York ) is an American actor . He is best known for his roles as Siegfried in `` Get Smart '' and as Dr. Adam Bricker ( `` Doc '' ) in `` The Love Boat '' from 1977 to 1986 ."
3405,"Thomas John `` Tommy '' Cook ( May 7 , 1907 -- October 2 , 1961 ) was a professional Canadian ice hockey forward who played 348 games in the National Hockey League .","Thomas John Cook ( May 7 , 1907 -- October 2 , 1961 ) was a Canadian professional ice hockey forward who played 348 games in the National Hockey League ."
3406,"Sarbhana is located in the west of the district , it is bounded by the following Union Councils , to the north by Kakul , Kuthwal and Beerangali , to the east by Phalkot , to the south by Namli Maira , Bagnotar and Bagh , and to the west by Dhamtour ( Sungli Narrian village ) .","Sarbhana is in the west of the district , it is next to following Union Councils , to the north by Kakul , Kuthwal and Beerangali , to the east by Phalkot , to the south by Namli Maira , Bagnotar and Bagh , and to the west by Dhamtour ( Sungli Narrian village ) ."
3407,"Over the years , sponsors have included Childress Vineyards , Pepsi , BB&T , Walmart , and other large and local corporations .","Over the years , many large companies have helped pay for the festival , such as Childress Vineyards , Pepsi , BB&T , Walmart , and other corporations ."
3408,"For this action , both Jones and Seanor were awarded the Medal of Honor four months later , on December 31 , 1864 .","For this actions , both Jones and Seanor were presented the Medal of Honor four months later , on December 31 , 1864 ."
3409,"Josef Albers ( March 19 , 1888 - March 25 , 1976 ) was a German-born American artist and educator whose work , both in Europe and in the United States , formed the basis of some of the most influential and far-reaching art education programs of the twentieth century .","Josef Albers ( March 19 , 1888 - March 25 , 1976 ) was a German-born American artist and educator ."
