#1 String,#2 String
"Yes, Dad?",Yes Dad?
"Furthermore, individuals and businesses subject to social insurance taxes are subject to them as a byproduct of their decision to enter covered employment or engage in a covered business, so especially for the major, broad-based social insurance programs--Social Security, Medicare (hospital insurance), and unemployment","As byproducts, individuals and businesses subject to social insurance taxes are subject  to their decision to enter covered employment."
"Access to the lakeside is restricted, but the view from Loughrigg Terrace is one of the best in the Lake District and an easy walk from the village.","You can get easily from the village to the Loughrigg terrace, you can even walk to it."
How do you know that she isn't doing that to you right now? Thorn said.,They wanted to know if she was already taking action.
"The Times of London, a Murdoch newspaper, devoted both a report and an editorial to the news that a surge in demand for exorcisms has led the Vatican to revise its 400-year-old formula for deliverance.",The Times of London is circulated in Murdock.
A crowd gathered around a man carrying a red japanese mask.,The man is carrying a mask.
group of children playing soccer.,The kids are playing soccer.
I think invention should be the prerogative of all men and in priority or not. And...',Somebody things that all men should be inventors.
A group of guys are not he football field playing football.,Guys are on a foot ball field.
that yeah that that's nice to do that that is,It would be good to do that
"For those who seek music action in discos and nightclubs, Milan seems to have the best selection.",Milan has the best choice of discos and nightclubs.
A yellow snow plow is plowing the street of snow.,The street has snow on it.
Two boys in button-up shirts and kakhis each standing on one leg.,Two kids stand on one leg.
"To further assess the efficiency and effectiveness of specific products and services, many of the leading finance organizations we studied relied on benchmarking6 and customer feedback.",Many finance organizations pay attention to customer feedback.
Two men in fleeces and hats looking at the camera.,Two men are looking at the camera.
The Department of Defense's (DOD) planned $700 billion in investment,The 700 billion investment dollars by the Department of Defence.
There is a group of people standing around including what appears to be a person in a bear costume with the head in their hand.,A group standing around a person in costume.
A bunch of people are gathered in a field overlooking a body of water.,humans outside
Musicians are sitting down and playing their instruments outside while people watch.,People playing music
A man dressed in white sports attire and white headband looks toward a sports event being played on green grass.,There is a man dressed in white sports attire.
of course you have plenty of uh plenty of uh mountains in Virginia and then in northern and you know up in New Hampshire and Maine too we had uh one of the um,"There are plenty of mountains in Virginia, New Hampshire and Maine."
A child is thrown in the air on the beach.,The child is airborne.
Violinist plays with the band as the yellow light sets the mood.,The violinist is playing the violin.
